,WorkerId,Language,Word,URL,Gender,Native Language,Years Spoken,Number of Languages Spoken,Pronunciations
0,A25EY8B3SXJ18J,English,the,https://vocaroo.com/i/s0mu1jgnbI2o,1,O,O,2,"('bell', 'death', 'net')"
1,A25EY8B3SXJ18J,English,find,https://vocaroo.com/i/s0z9a9P3sQnW,1,O,O,2,"('find', 'find', 'shined')"
2,A25EY8B3SXJ18J,English,earth,https://vocaroo.com/i/s1jkXNeZe4el,1,O,O,2,"('health', 'heart', 'hearth')"
3,A25EY8B3SXJ18J,English,face,https://vocaroo.com/i/s0oUNgTah6yr,1,O,O,2,"('face', 'face', 'face')"
4,A25EY8B3SXJ18J,English,pull,https://vocaroo.com/i/s0n9tBSqwSdS,1,O,O,2,"('pull', 'pull', 'twelve')"
5,A25EY8B3SXJ18J,English,fill,https://vocaroo.com/i/s1LP1Ppjh9K9,1,O,O,2,"('fill', 'fill', 'fin')"
6,A25EY8B3SXJ18J,English,hope,https://vocaroo.com/i/s0FOJSSlBE9r,1,O,O,2,"('hope', 'hope', 'hope')"
7,A25EY8B3SXJ18J,English,flat,https://vocaroo.com/i/s081fiES9f6i,1,O,O,2,"('flurt', 'flat', 'flapped')"
8,A25EY8B3SXJ18J,English,chair,https://vocaroo.com/i/s1fRhPXOOkon,1,O,O,2,"('child', 'child', 'child')"
9,A25EY8B3SXJ18J,English,require,https://vocaroo.com/i/s0tUhUJzelAG,1,O,O,2,"('require', 'require', 'require')"
11,ACNYYHTK64MJY,English,any,https://vocaroo.com/i/s08NY7rvY5pt,1,E,O,1,"('any', 'any', 'any')"
12,ACNYYHTK64MJY,English,father,https://vocaroo.com/i/s0mHSMrymToH,1,E,O,1,"('father', 'father', 'father')"
14,ACNYYHTK64MJY,English,cold,https://vocaroo.com/i/s0jVi3SFfDV7,1,E,O,1,"('cold', 'could', 'cold')"
16,ACNYYHTK64MJY,English,flower,https://vocaroo.com/i/s0h7ib9kcw58,1,E,O,1,"('flower', 'flower', 'flower')"
18,ACNYYHTK64MJY,English,danger,https://vocaroo.com/i/s06ITcm5Dkbt,1,E,O,1,"('danger', 'danger', 'danger')"
19,ACNYYHTK64MJY,English,broad,https://vocaroo.com/i/s0a7ksBnJMRS,1,E,O,1,"('fraud', 'pride', 'broad')"
20,A2BLFFZ0VK2WNA,English,in,https://vocaroo.com/i/s0xAaASMbtJD,1,E,O,2,"('it', 'in', 'in')"
21,A2BLFFZ0VK2WNA,English,take,https://vocaroo.com/i/s1OIsWll3LNU,1,E,O,2,"('take', 'take', 'take')"
22,A2BLFFZ0VK2WNA,English,page,https://vocaroo.com/i/s1Rgj3aRcw7w,1,E,O,2,"('page', 'page', 'page')"
23,A2BLFFZ0VK2WNA,English,girl,https://vocaroo.com/i/s08R0kkKqHsO,1,E,O,2,"('girl', 'girl', 'girl')"
24,A2BLFFZ0VK2WNA,English,power,https://vocaroo.com/i/s1DpAhTw2PBL,1,E,O,2,"('power', 'power', 'power')"
25,A2BLFFZ0VK2WNA,English,grand,https://vocaroo.com/i/s13Ov5PnVYr5,1,E,O,2,"('grand', 'grand', 'grand')"
26,A2BLFFZ0VK2WNA,English,jump,https://vocaroo.com/i/s0CFGz1hlOrI,1,E,O,2,"('jump', 'jump', 'jump')"
27,A2BLFFZ0VK2WNA,English,hole,https://vocaroo.com/i/s1roUWGyrxbU,1,E,O,2,"('hole', 'hole', 'hole')"
