,Word,Mispronunciations
0,the,"['bell', 'death', 'net']"
1,find,['shined']
2,earth,"['health', 'heart', 'hearth']"
4,pull,['twelve']
5,fill,['fin']
7,flat,"['flurt', 'flapped']"
8,chair,['child']
12,cold,['could']
15,broad,"['fraud', 'pride']"
16,in,['it']
24,soldier,['solidier']
26,it,"[""it's"", 'dut']"
30,fine,['trying']
35,found,['pound']
36,certain,['segment']
37,village,['knowledge']
38,trip,['check']
39,guess,"['guest', 'gas']"
41,that,"['lock', 'rock']"
42,live,"['lies', 'nice']"
45,fly,['slide']
46,drop,['fly']
47,meet,['met']
53,grow,['crawl']
55,lead,['would']
56,am,['em']
57,buy,"['five', 'by']"
59,wing,"['rain', 'wink']"
60,death,['duck']
61,for,"['far', 'freddy', 'four']"
62,back,['bag']
63,study,['steady']
64,list,"['lift', 'mist']"
65,cry,['high']
67,raise,"['erase', 'race']"
68,mouth,['might']
69,create,['great']
70,pretty,"['penny', 'preggy', 'twenty']"
71,are,"['art', 'way']"
72,only,['orly']
73,learn,"['low', 'leurs']"
74,feel,"['fill', 'phill']"
76,dance,"['dentist', 'dallas']"
77,metal,"['medal', 'merder']"
78,symbol,['sssemball']
79,wash,['woosh']
80,women,"['warrant', 'woman', 'double']"
81,as,['nan']
82,man,['men']
84,bird,['add']
87,push,['pause']
88,least,['list']
89,rather,['weather']
91,I,"['eye', 'i']"
100,they,"['day', 'grow']"
101,star,['stone']
102,sail,"['same', 'sale']"
103,third,['clerk']
104,except,['accept']
105,compare,['container']
110,vary,['very']
111,hair,['care']
114,have,['hair']
122,depend,['defend']
124,this,['invest']
125,our,"['maler', 'power', 'hour']"
130,cook,['speak']
132,meat,"['mute', 'meet']"
133,fig,['finger']
136,last,['wask']
137,measure,['major']
139,weight,['wait']
140,floor,['four']
144,or,"['work', 'ore', 'core']"
146,let,"['what', 'wet']"
147,door,['toward']
148,pound,['hand']
149,general,['genaro']
152,tube,"['two', 'tobe']"
154,by,['buy']
160,word,"['rig', 'bird']"
163,numeral,"['weird', 'mirror']"
164,stood,"['stored', 'stirred']"
165,pair,"['air', 'earth']"
167,fear,['beer']
169,what,"['work', 'wart']"
170,great,['greate']
171,hard,['hide']
172,wind,['rain']
173,divide,['beguile']
175,oil,"['foul', 'file']"
176,thin,"['think', 'ten']"
188,low,['blow']
190,ship,['sheet']
192,pick,['thick']
193,cent,['sent']
194,chief,['cheese']
195,bought,"['fought', 'thought']"
198,far,['farn']
199,area,['aria']
201,sudden,['southern']
202,coast,['cosed']
205,led,"['let', 'lat']"
208,south,"['sauce', 'solve', 'salve']"
209,warm,['war']
214,use,"['views', 'news']"
216,don't,"[""dont's"", 'bounce']"
218,wear,['where']
219,fresh,"['fash', 'fetch']"
220,rope,['brawl']
224,piece,['peace']
227,roll,['role']
233,press,"['pretsy', 'quests']"
236,region,"['weegian', 'midgent']"
239,send,"['sund', 'sand']"
240,win,['when']
241,said,['set']
244,knew,"['mute', 'new']"
248,sent,['scent']
251,an,['n']
254,pass,"['ass', 'as']"
255,mind,['bind']
258,choose,"['fuse', 'use']"
261,each,['itch']
262,too,"['two', 'to']"
264,since,"['sex', 'sense']"
271,tell,['towel']
272,few,['teal']
273,whole,"['hole', 'pull']"
274,tail,['tall']
275,brother,['weather']
276,lie,['light']
281,well,['woe']
292,TRUE,"['children', 'true']"
298,seat,['seed']
299,many,['money']
300,play,"['pray', 'quiet']"
301,begin,['began']
302,during,"['grain', 'caring']"
304,race,"['raise', 'ways']"
305,quite,"['kuwait', 'wait']"
306,woman,"['women', 'woolen']"
307,block,"['quack', 'work']"
308,arrive,"['wow', 'why']"
315,broke,['rope']
319,end,"['tend', 'uned']"
321,full,"['four', 'fool']"
322,case,"['nan', 'tape', 'eight']"
323,practice,['tooth paste']
324,hat,['hate']
326,write,['right']
327,put,"['boot', 'boots']"
330,force,['horse']
334,sell,"['zoo', 'chew', 'sue']"
335,parent,"['parridge', 'orange', 'courage']"
336,would,['wood']
344,shore,['sure']
346,port,"['bored', 'board']"
348,west,['rest']
350,lone,"['low', 'loan']"
353,event,['invent']
358,leg,"['lag', 'lack']"
360,noon,"['imune', 'nude']"
363,spell,"['l', 'now', 'bell']"
364,those,['nose']
369,whose,['boose']
370,connect,['blue']
371,two,"['too', 'to', 'true']"
375,test,['cat']
377,consonant,"['continent', 'accident']"
378,caught,['fault']
379,shoe,['chew']
380,glad,['quite']
381,has,['big']
383,mile,['mild']
386,board,['bored']
391,come,['cha']
392,ask,['asked']
393,book,['look']
395,stead,"['start', 'stud']"
397,pay,['paid']
399,born,"['boar', 'bore']"
400,proper,"['cropper', 'cromper']"
401,did,['dead']
402,men,['man']
404,several,['sever']
405,dry,['fly']
406,kept,['cat']
408,effect,"['affect', 'aspect']"
409,determine,['determined']
410,bar,['far']
422,light,['white']
428,crop,"['croat', 'clock']"
432,kind,['tied']
433,room,"['womb', 'boom']"
445,game,"['cane', 'came']"
451,know,"['right', 'white']"
456,past,['packed']
459,shop,['shock']
461,than,"['then', 'den']"
462,us,"['as', 'ask']"
465,hot,['hook']
466,fun,['firm']
468,supply,"['simply', 'sharply']"
469,throw,['drove']
470,dear,"['their', 'dare', 'there']"
490,world,"['word', 'ward']"
491,cut,['good']
492,map,['mat']
493,tire,['die']
495,key,"['game', 'gay']"
496,agree,['angry']
497,select,['senate']
498,support,['circus']
502,govern,"['given', 'cavan']"
