,WorkerId,Language,Word,URL,Gender,Native Language,Years Spoken,Number of Languages Spoken,Pronunciations
0,A8VK1FG29SEB,English,to,https://vocaroo.com/i/s1h5V5iouKwv,2,E,O,1,"('queen', 'true', 'who')"
1,A8VK1FG29SEB,English,new,https://vocaroo.com/i/s1VJsFJx9RC2,2,E,O,1,"('none', 'move', 'move')"
2,A8VK1FG29SEB,English,head,https://vocaroo.com/i/s0u4kpPkKS8X,2,E,O,1,"('head', 'head', 'head')"
3,A8VK1FG29SEB,English,main,https://vocaroo.com/i/s1RlsLZ7oi0R,2,E,O,1,"('name', 'main', 'main')"
4,A8VK1FG29SEB,English,notice,https://vocaroo.com/i/s1chIP2E223Q,2,E,O,1,"('lotus', 'notice', 'noted')"
5,A8VK1FG29SEB,English,paint,https://vocaroo.com/i/s0sGtjMYJVGY,2,E,O,1,"('picked', 'hate', 'paint')"
6,A8VK1FG29SEB,English,clothe,https://vocaroo.com/i/s1GvT6YHgOw6,2,E,O,1,"('clothe', 'bride', 'clothe')"
7,A8VK1FG29SEB,English,skin,https://vocaroo.com/i/s0afSbiqmwo0,2,E,O,1,"('slur', 'skin', 'skin')"
8,A8VK1FG29SEB,English,fruit,https://vocaroo.com/i/s0rmcDhAF1MS,2,E,O,1,"('freight', 'white', 'freight')"
9,A8VK1FG29SEB,English,prepare,https://vocaroo.com/i/s1bTMFL3v7HN,2,E,O,1,"('creeper', 'repair', 'prepare')"
12,A3B0AB2C9SIHN,English,stand,https://vocaroo.com/i/s110R70ZeeSa,1,O,1,3,"('stand', 'stand', 'stand')"
14,A3B0AB2C9SIHN,English,voice,https://vocaroo.com/i/s1UuBaJTZIe8,1,O,1,3,"('enough', 'enough', 'enough')"
15,A3B0AB2C9SIHN,English,language,https://vocaroo.com/i/s0d9oqdlMANQ,1,O,1,3,"('language', 'lanuguage', 'language')"
16,A3B0AB2C9SIHN,English,strange,https://vocaroo.com/i/s14qbJdP9YMe,1,O,1,3,"('strange', 'strange', 'strange')"
18,A3B0AB2C9SIHN,English,rich,https://vocaroo.com/i/s0V6LdGveygA,1,O,1,3,"('reach', 'rich', 'rich')"
19,A3B0AB2C9SIHN,English,salt,https://vocaroo.com/i/s1WLLHGuPAuv,1,O,1,3,"('salt', 'salt', 'solve')"
20,A3LR4G1GAG3ID4,English,is,https://vocaroo.com/i/s1bxqUIvyVXC,2,E,O,1,"('is', 'is', 'is')"
21,A3LR4G1GAG3ID4,English,get,https://vocaroo.com/i/s1tX0Szp5IH3,2,E,O,1,"('get', 'gay', 'get')"
22,A3LR4G1GAG3ID4,English,should,https://vocaroo.com/i/s0PBEj95Limn,2,E,O,1,"('shed', 'shuld', 'shed')"
23,A3LR4G1GAG3ID4,English,usual,https://vocaroo.com/i/s1MhC5LPBXoA,2,E,O,1,"('usual', 'usual', 'usual')"
24,A3LR4G1GAG3ID4,English,town,https://vocaroo.com/i/s1b4l7xqnPVn,2,E,O,1,"('town', 'tawn', 'town')"
25,A3LR4G1GAG3ID4,English,ball,https://vocaroo.com/i/s1tzB3fyQrF4,2,E,O,1,"('ball', 'boul', 'ball')"
26,A3LR4G1GAG3ID4,English,baby,https://vocaroo.com/i/s17HaD4MOmTG,2,E,O,1,"('baby', 'baby', 'baby')"
27,A3LR4G1GAG3ID4,English,trade,https://vocaroo.com/i/s09IuJTcXQ3K,2,E,O,1,"('trade', 'trait', 'trade')"
28,A3LR4G1GAG3ID4,English,process,https://vocaroo.com/i/s0M0QC5ztkjn,2,E,O,1,"('process', 'process', 'process')"
29,A3LR4G1GAG3ID4,English,anger,https://vocaroo.com/i/s0QFnRZHaLkC,2,E,O,1,"('anger', 'anger', 'anger')"
30,A1KXEU42PFNSPT,English,he,https://vocaroo.com/i/s0FUjgnPAvlW,2,E,O,1,"('tear', 'keep', 'eat')"
31,A1KXEU42PFNSPT,English,where,https://vocaroo.com/i/s1QKP37ViE0C,2,E,O,1,"('where', 'wear', 'where')"
32,A1KXEU42PFNSPT,English,school,https://vocaroo.com/i/s1wkWZyjm2qY,2,E,O,1,"('school', 'school', 'school')"
