,Word,Mispronunciations
1,dos,"['tos', 'todos']"
3,nada,['ala']
6,pública,['publica']
8,encuentro,['encuentra']
10,y,['i']
11,parte,['arte']
16,atención,['atencion']
18,actual,['actuar']
19,alto,['auto']
21,así,['asi']
24,ello,['proyecto']
26,van,"['al', 'han', 'pan']"
28,construcción,"['construccion', 'instrucción']"
32,va,['ha']
33,cómo,['como']
35,objetivo,['obtejivo (objetivo)']
36,participación,"['participacion', 'paticipación']"
42,través,"['através', 'traves']"
43,calidad,"['através', 'traves', 'través']"
52,quienes,['quiénes']
56,hacen,"['hacer', 'inaudible ( hacen ?? )']"
57,algún,['algun']
58,un,['una']
59,vez,"['un', 'una']"
60,más,"['mos', 'mas']"
61,tan,"['dun', 'dan']"
62,embargo,"['dun', 'dan', 'tan']"
64,posibilidad,['possibilidad']
66,mayor,['mashol']
68,público,['publico']
69,administración,"[""administracio'n""]"
70,cabo,['cargo']
73,trabajo,['abajo']
82,además,['ademas']
85,muchas,['muchos']
86,sentido,"['muchas', 'muchos']"
87,medios,"['muchas', 'muchos']"
88,espacio,"['muchas', 'muchos']"
89,haya,"['muchas', 'muchos']"
90,humanos,['monos']
91,o,"['él', 'hmms']"
94,pues,['juez']
95,méxico,['mexico']
99,presencia,['licencia']
101,ese,"['bese', 'inaudible']"
106,dios,['los']
107,tarde,"['los', 'dios']"
109,ha,['uhs']
110,te,"['he', 'té', 'chef']"
113,respecto,['respeto']
114,deben,"['debe', 'lleven']"
116,temas,['cinco']
120,junto,"['punto', 'unto']"
121,cuanto,"['punto', 'unto']"
122,valor,['favor']
123,políticas,['olipticas']
124,son,"['dinero', 'tilguero']"
126,nuevo,['huevo']
127,nivel,['inaudible']
130,gestión,['director']
132,federal,"['videral', 'mineral']"
134,sobre,['pobre']
136,ellos,['forma']
138,tras,"['paz', 'ras', 'haz']"
140,trata,"['harta', 'rata']"
150,buen,"['pues', 'bueno']"
151,podría,['podria']
155,sólo,"['sol', 'solo']"
164,sin,['si']
165,ni,['mi']
169,falta,['alta']
176,sino,"['not sure sorry (maybe "" signo "" )']"
181,mayoría,['mayoria']
183,marzo,['marco']
184,también,['tambien']
186,nuestro,['ahora']
191,área,['unidos']
193,mejores,['usted']
195,están,['estan']
202,próximo,['proximo']
204,está,['esta']
205,artículo,['articulo']
209,dinero,['tilguero']
210,necesidad,"['dinero', 'tilguero']"
211,hay,['ay']
213,había,['habia']
214,historia,['hitoria']
215,partir,['arte']
216,último,"['baltimore', 'inaudible (strong accent)']"
219,principal,"['príncipe', 'principa']"
