,WorkerId,Language,Word,URL,Gender,Native Language,Years Spoken,Number of Languages Spoken,Pronunciations
0,ALNPIFNRHDBRB,Spanish,de,https://vocaroo.com/i/s1v4msd3NbtK,2,S,O,2,"('de', 'de', 'de')"
1,ALNPIFNRHDBRB,Spanish,porque,https://vocaroo.com/i/s1Wq1FmBNjRW,2,S,O,2,"('porqué', 'porquè', 'por que')"
2,ALNPIFNRHDBRB,Spanish,cual,https://vocaroo.com/i/s0yDtPeQo4v6,2,S,O,2,"('cuál', 'juan', 'cual')"
3,ALNPIFNRHDBRB,Spanish,primer,https://vocaroo.com/i/s1IP44ZMh3sl,2,S,O,2,"('primer', 'primer', 'primer')"
4,ALNPIFNRHDBRB,Spanish,sí,https://vocaroo.com/i/s1EiqZ5U9T8h,2,S,O,2,"('si', 'sì', 'si')"
5,ALNPIFNRHDBRB,Spanish,relación,https://vocaroo.com/i/s1ZjMQuWBZhH,2,S,O,2,"('relación', ""felacio'n"", 'velacion')"
6,ALNPIFNRHDBRB,Spanish,comisión,https://vocaroo.com/i/s15JYOtEwebd,2,S,O,2,"('comisión', 'commission', 'colision')"
7,ALNPIFNRHDBRB,Spanish,región,https://vocaroo.com/i/s12XzQlJsWw9,2,S,O,2,"('región', ""teio'n"", 'region')"
9,ALNPIFNRHDBRB,Spanish,libro,https://vocaroo.com/i/s1bcEIYrPcNR,2,S,O,2,"('libro', 'libro', 'libro')"
10,A1207FLPM7LZFE,Spanish,que,https://vocaroo.com/i/s0ywmIWpRxuG,1,O,O,O,"('que', 'qué', 'qué')"
11,A1207FLPM7LZFE,Spanish,hasta,https://vocaroo.com/i/s01lsQmgrw8j,1,O,O,O,"('hasta', 'hasta', 'hasta')"
12,A1207FLPM7LZFE,Spanish,ciudad,https://vocaroo.com/i/s0w6lSdCqdFx,1,O,O,O,"('ciudad', 'ciudad', 'cuidad')"
13,A1207FLPM7LZFE,Spanish,hecho,https://vocaroo.com/i/s0aXWVGeDmq4,1,O,O,O,"('hecho', 'hecho', 'hecho')"
16,A1207FLPM7LZFE,Spanish,fuera,https://vocaroo.com/i/s0bl3L3X9US3,1,O,O,O,"('fuera', 'fuera', 'fuera')"
18,A1207FLPM7LZFE,Spanish,ir,https://vocaroo.com/i/s0DbJ7h2mUA7,1,O,O,O,"('ir', 'ir', 'ir')"
20,ALNPIFNRHDBRB,Spanish,el,https://vocaroo.com/i/s1IojtWGBMoc,2,S,O,2,"('él', 'el', 'él')"
21,ALNPIFNRHDBRB,Spanish,donde,https://vocaroo.com/i/s1rWDrH3hYFJ,2,S,O,2,"('donde', 'donde', 'donde')"
22,ALNPIFNRHDBRB,Spanish,general,https://vocaroo.com/i/s0D4LNUCCYph,2,S,O,2,"('general', 'general', 'general')"
23,ALNPIFNRHDBRB,Spanish,poco,https://vocaroo.com/i/s1kY4P5ajVla,2,S,O,2,"('poco', 'poco', 'poco')"
24,ALNPIFNRHDBRB,Spanish,misma,https://vocaroo.com/i/s01RWjdm6N6K,2,S,O,2,"('misma', 'misma', 'mesa')"
25,ALNPIFNRHDBRB,Spanish,meses,https://vocaroo.com/i/s1xZRtjtg0C2,2,S,O,2,"('veces', 'peces', 'peces / meses')"
26,ALNPIFNRHDBRB,Spanish,igual,https://vocaroo.com/i/s020ImsKB6RA,2,S,O,2,"('igual', 'igual', 'igual')"
27,ALNPIFNRHDBRB,Spanish,plan,https://vocaroo.com/i/s0UsVocoFjks,2,S,O,2,"('plan', 'plan', 'plan')"
28,ALNPIFNRHDBRB,Spanish,consejo,https://vocaroo.com/i/s0VhZLtSDEAR,2,S,O,2,"('consejo', 'consejo', 'consejo')"
29,ALNPIFNRHDBRB,Spanish,maría,https://vocaroo.com/i/s1piSbOINsWe,2,S,O,2,"('maría', 'maria', 'maría')"
30,A2SLF9OF59T7ZQ,Spanish,a,https://vocaroo.com/i/s0DCYRL05nXo,1,S,O,2,"('a', 'a', 'ha')"
31,A2SLF9OF59T7ZQ,Spanish,han,https://vocaroo.com/i/s0K2s7YsdYVZ,1,S,O,2,"('un', 'han', 'han')"
32,A2SLF9OF59T7ZQ,Spanish,menos,https://vocaroo.com/i/s0Xnb9MFFqoG,1,S,O,2,"('menos', 'menos', 'menos')"
33,A2SLF9OF59T7ZQ,Spanish,será,https://vocaroo.com/i/s10A7BtNmz4h,1,S,O,2,"('fera', 'sera', 'será')"
34,A2SLF9OF59T7ZQ,Spanish,tema,https://vocaroo.com/i/s0Bn0Y6huSze,1,S,O,2,"('dema', 'tema', 'tema')"
35,A2SLF9OF59T7ZQ,Spanish,aún,https://vocaroo.com/i/s0WMTb3T7hsW,1,S,O,2,"('aun', 'aun', 'aún')"
36,A2SLF9OF59T7ZQ,Spanish,realidad,https://vocaroo.com/i/s1CSpDRPuwVK,1,S,O,2,"('reañal', 'realidad', 'realidad')"
37,A2SLF9OF59T7ZQ,Spanish,conocer,https://vocaroo.com/i/s0jcZlonkvgL,1,S,O,2,"('bonasera', 'conocer', 'conocer')"
38,A2SLF9OF59T7ZQ,Spanish,vamos,https://vocaroo.com/i/s12abNuqOZ6X,1,S,O,2,"('vamos', 'vamos', 'vamos')"
39,A2SLF9OF59T7ZQ,Spanish,calle,https://vocaroo.com/i/s1GcBV6gOf9B,1,S,O,2,"('cache', 'h', 'calle (south american accent,i believe argentina, they spell the "" ll "" different)')"
40,A1207FLPM7LZFE,Spanish,del,https://vocaroo.com/i/s0fnSTpU5Ghb,1,O,O,O,"('del', 'del', 'del')"
41,A1207FLPM7LZFE,Spanish,mi,https://vocaroo.com/i/s0pHr3CVvTzT,1,O,O,O,"('mi', 'mi', 'mi')"
42,A1207FLPM7LZFE,Spanish,contra,https://vocaroo.com/i/s0FUdL9gPlDw,1,O,O,O,"('contra', 'contra', 'contra')"
43,A1207FLPM7LZFE,Spanish,grupo,https://vocaroo.com/i/s0OiOa8c8vZk,1,O,O,O,"('grupo', 'grupo', 'grupo')"
44,A1207FLPM7LZFE,Spanish,empresas,https://vocaroo.com/i/s0rFcs2LgmNG,1,O,O,O,"('empresas', 'empresas', 'empresas')"
45,A1207FLPM7LZFE,Spanish,datos,https://vocaroo.com/i/s0MXklVgibjA,1,O,O,O,"('datos', 'datos', 'datos')"
